reportingFacilityCode,totalParQuantity,shortParQuantity,marketCode,tradeReportDate,securitiesInformationProcessorSymbolIdentifier,shortExemptParQuantity
NYTRF,224.0,111.0,N,2025-09-02,CURR,0
NCTRF,3473.0,3473.0,B,2025-12-04,CURR,3373
NQTRF,28108.0,3761.0,Q,2025-12-04,CURR,10
NQTRF,98362.0,36877.0,Q,2025-12-03,CURR,109
NYTRF,5283.0,458.0,N,2025-12-03,CURR,0
NCTRF,952.0,651.0,B,2025-11-25,CURR,0
NQTRF,221479.0,89392.0,Q,2025-11-25,CURR,0
NYTRF,22794.0,4800.0,N,2025-11-25,CURR,0
NCTRF,3800.0,400.0,B,2025-11-24,CURR,0
NQTRF,135496.0,61659.0,Q,2025-11-24,CURR,0
NYTRF,30893.0,900.0,N,2025-11-24,CURR,0
NCTRF,1718.0,1718.0,B,2025-11-18,CURR,0
NQTRF,107265.0,58178.0,Q,2025-11-18,CURR,8778
NYTRF,18886.0,3421.0,N,2025-11-18,CURR,0
NCTRF,5900.0,800.0,B,2025-11-13,CURR,0
NQTRF,145493.0,78891.0,Q,2025-11-13,CURR,0
NYTRF,8547.0,2442.0,N,2025-11-13,CURR,0
NCTRF,200.0,200.0,B,2025-11-07,CURR,0
NQTRF,302368.0,157578.0,Q,2025-11-07,CURR,200
NYTRF,19612.0,7042.0,N,2025-11-07,CURR,0
NQTRF,46299.0,19610.0,Q,2025-09-26,CURR,0
NYTRF,9546.0,24.0,N,2025-09-26,CURR,0
NCTRF,200.0,200.0,B,2025-09-19,CURR,0
NQTRF,139473.0,66371.0,Q,2025-09-19,CURR,0
NYTRF,1560.0,757.0,N,2025-09-19,CURR,0
NCTRF,800.0,300.0,B,2025-12-10,CURR,0
NQTRF,44972.0,15116.0,Q,2025-12-10,CURR,1200
NCTRF,2850.0,1850.0,B,2025-11-26,CURR,0
NQTRF,49646.0,14497.0,Q,2025-11-26,CURR,0
NCTRF,400.0,300.0,B,2025-09-18,CURR,0
NQTRF,31610.0,11039.0,Q,2025-09-18,CURR,0
NYTRF,2340.0,160.0,N,2025-09-18,CURR,0
NQTRF,93045.0,34405.0,Q,2025-12-08,CURR,0
NYTRF,289.0,100.0,N,2025-12-08,CURR,0
NQTRF,140630.0,77648.0,Q,2025-11-19,CURR,363
NYTRF,15767.0,1249.0,N,2025-11-19,CURR,0
NQTRF,156606.0,69558.0,Q,2025-11-12,CURR,6275
NYTRF,7082.0,1507.0,N,2025-11-12,CURR,0
NQTRF,18368.0,12817.0,Q,2025-09-17,CURR,299
NYTRF,352.0,312.0,N,2025-09-17,CURR,0
NQTRF,32417.0,19838.0,Q,2025-09-08,CURR,0
NYTRF,513.0,510.0,N,2025-09-08,CURR,0
NCTRF,2391.0,1001.0,B,2025-08-01,CURR,1
NQTRF,390312.0,129489.0,Q,2025-08-01,CURR,34591
NYTRF,7550.0,1317.0,N,2025-08-01,CURR,0
NCTRF,470.0,400.0,B,2025-09-16,CURR,0
NQTRF,33882.0,10956.0,Q,2025-09-16,CURR,0
NYTRF,17.0,11.0,N,2025-09-16,CURR,0
NQTRF,41494.0,20859.0,Q,2025-08-22,CURR,145
NYTRF,2676.0,308.0,N,2025-08-22,CURR,0
NQTRF,22795.0,9367.0,Q,2025-08-11,CURR,392
NYTRF,2076.0,1074.0,N,2025-08-11,CURR,0
NQTRF,45079.0,23582.0,Q,2025-09-11,CURR,0
NYTRF,700.0,31.0,N,2025-09-11,CURR,0
NQTRF,26307.0,19847.0,Q,2025-09-10,CURR,182
NYTRF,971.0,771.0,N,2025-09-10,CURR,0
NQTRF,64807.0,29655.0,Q,2025-08-25,CURR,0
NYTRF,3301.0,141.0,N,2025-08-25,CURR,0
NQTRF,169536.0,55005.0,Q,2025-08-13,CURR,2361
NYTRF,3341.0,3258.0,N,2025-08-13,CURR,0
NCTRF,6700.0,5500.0,B,2025-08-12,CURR,0
NQTRF,211594.0,103257.0,Q,2025-08-12,CURR,233
NYTRF,12956.0,11748.0,N,2025-08-12,CURR,0
NCTRF,787.0,786.0,B,2025-06-30,CURR,100
NQTRF,2045491.0,1249424.0,Q,2025-06-30,CURR,116995
NYTRF,67933.0,31727.0,N,2025-06-30,CURR,0
NQTRF,81664.0,58764.0,Q,2025-12-26,CURR,0
NYTRF,768.0,318.0,N,2025-12-26,CURR,0
NCTRF,101.0,100.0,B,2025-11-11,CURR,0
NQTRF,227243.0,77695.0,Q,2025-11-11,CURR,4373
NYTRF,5950.0,4319.0,N,2025-11-11,CURR,0
NCTRF,4100.0,2700.0,B,2025-08-18,CURR,0
NQTRF,246912.0,91888.0,Q,2025-08-18,CURR,0
