ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,dataset
2026-05-18 14:10:35.407279105+00:00,2026-05-18 14:10:35.407062379+00:00,0,43,19474,T,B,0,3.13,24,0,199684,14649182,CURR,ARCX.PILLAR
2026-05-18 14:10:35.407439073+00:00,2026-05-18 14:10:35.407222750+00:00,0,43,19474,T,B,0,3.14,18,0,199584,14649201,CURR,ARCX.PILLAR
2026-05-18 14:10:35.407548255+00:00,2026-05-18 14:10:35.407332876+00:00,0,43,19474,T,B,0,3.15,9,0,199827,14649215,CURR,ARCX.PILLAR
2026-05-18 14:10:35.407720597+00:00,2026-05-18 14:10:35.407503136+00:00,0,43,19474,T,B,0,3.15,72,0,199547,14649231,CURR,ARCX.PILLAR
2026-05-18 14:10:35.407743798+00:00,2026-05-18 14:10:35.407533031+00:00,0,43,19474,T,B,0,3.15,100,0,199664,14649233,CURR,ARCX.PILLAR
2026-05-18 14:10:35.407938248+00:00,2026-05-18 14:10:35.407727343+00:00,0,43,19474,T,B,0,3.15,28,0,199491,14649249,CURR,ARCX.PILLAR
2026-05-18 14:10:38.407778552+00:00,2026-05-18 14:10:38.407563073+00:00,0,43,19474,T,B,0,3.16,18,0,199511,14660483,CURR,ARCX.PILLAR
2026-05-18 14:10:38.454433869+00:00,2026-05-18 14:10:38.454220339+00:00,0,43,19474,T,B,0,3.17,18,0,199658,14660561,CURR,ARCX.PILLAR
2026-05-18 14:10:38.455001830+00:00,2026-05-18 14:10:38.454788978+00:00,0,43,19474,T,B,0,3.18,17,0,199503,14660578,CURR,ARCX.PILLAR
2026-05-18 14:15:47.411217912+00:00,2026-05-18 14:15:47.410990857+00:00,0,43,19474,T,A,0,3.15,100,0,199595,15570396,CURR,ARCX.PILLAR
2026-05-18 14:15:47.412578122+00:00,2026-05-18 14:15:47.412369381+00:00,0,43,19474,T,N,0,3.15,33,128,199676,15570421,CURR,ARCX.PILLAR
2026-05-18 14:15:47.663681657+00:00,2026-05-18 14:15:47.663467380+00:00,0,43,19474,T,A,0,3.13,100,0,199580,15570744,CURR,ARCX.PILLAR
2026-05-18 14:15:47.663734378+00:00,2026-05-18 14:15:47.663523735+00:00,0,43,19474,T,A,0,3.13,100,0,199651,15570745,CURR,ARCX.PILLAR
2026-05-18 14:29:53.548131341+00:00,2026-05-18 14:29:53.547920258+00:00,0,43,19474,T,A,0,3.02,1,0,199766,17739722,CURR,ARCX.PILLAR
2026-05-18 14:31:43.462695556+00:00,2026-05-18 14:31:43.462477357+00:00,0,43,19474,T,B,0,3.05,600,0,199447,18037826,CURR,ARCX.PILLAR
2026-05-18 14:31:43.462789528+00:00,2026-05-18 14:31:43.462579399+00:00,0,43,19474,T,N,0,3.05,25,128,199435,18037834,CURR,ARCX.PILLAR
2026-05-18 14:31:53.050333635+00:00,2026-05-18 14:31:53.050121400+00:00,0,43,19474,T,N,0,3.05,25,128,199807,18057241,CURR,ARCX.PILLAR
2026-05-18 14:31:53.050401893+00:00,2026-05-18 14:31:53.050193302+00:00,0,43,19474,T,N,0,3.05,25,128,199555,18057242,CURR,ARCX.PILLAR
2026-05-18 14:31:53.050462499+00:00,2026-05-18 14:31:53.050253487+00:00,0,43,19474,T,N,0,3.05,25,128,199753,18057243,CURR,ARCX.PILLAR
2026-05-18 14:31:53.050523574+00:00,2026-05-18 14:31:53.050310187+00:00,0,43,19474,T,N,0,3.05,9,0,199579,18057244,CURR,ARCX.PILLAR
2026-05-18 14:31:53.050523574+00:00,2026-05-18 14:31:53.050310187+00:00,0,43,19474,T,N,0,3.05,16,128,199579,18057245,CURR,ARCX.PILLAR
2026-05-18 14:31:53.050580252+00:00,2026-05-18 14:31:53.050372344+00:00,0,43,19474,T,N,0,3.05,25,128,199487,18057246,CURR,ARCX.PILLAR
2026-05-18 14:31:53.050636790+00:00,2026-05-18 14:31:53.050425992+00:00,0,43,19474,T,N,0,3.05,25,128,199580,18057247,CURR,ARCX.PILLAR
2026-05-18 14:31:53.050690440+00:00,2026-05-18 14:31:53.050482308+00:00,0,43,19474,T,N,0,3.05,25,128,199699,18057248,CURR,ARCX.PILLAR
2026-05-18 14:32:23.047102588+00:00,2026-05-18 14:32:23.046886969+00:00,0,43,19474,T,N,0,3.06,25,128,199557,18144356,CURR,ARCX.PILLAR
2026-05-18 14:34:14.328553949+00:00,2026-05-18 14:34:14.328338512+00:00,0,43,19474,T,N,0,3.06,100,128,199661,18499609,CURR,ARCX.PILLAR
